2026-05-08 16:05:06 | STATE=WAIT | HF=404
2026-05-08 16:05:16 | STATE=WAIT | HF=404
2026-05-08 16:05:27 | STATE=WAIT | HF=404
2026-05-08 16:05:37 | STATE=WAIT | HF=404
2026-05-08 16:05:48 | STATE=WAIT | HF=404
2026-05-08 16:05:59 | STATE=WAIT | HF=404
2026-05-08 16:06:09 | STATE=WAIT | HF=404
2026-05-08 16:06:20 | STATE=WAIT | HF=404
2026-05-08 16:06:30 | STATE=WAIT | HF=404
2026-05-08 16:06:41 | STATE=WAIT | HF=404
2026-05-08 16:06:52 | STATE=WAIT | HF=404
2026-05-08 16:07:02 | STATE=WAIT | HF=404
2026-05-08 16:07:13 | STATE=WAIT | HF=404
2026-05-08 16:07:23 | STATE=WAIT | HF=404
2026-05-08 16:07:34 | STATE=WAIT | HF=404
2026-05-08 16:07:45 | STATE=WAIT | HF=404
2026-05-08 16:07:55 | STATE=WAIT | HF=404
2026-05-08 16:08:06 | STATE=WAIT | HF=404
2026-05-08 16:08:17 | STATE=WAIT | HF=404
2026-05-08 16:08:27 | STATE=WAIT | HF=404
2026-05-08 16:08:38 | STATE=WAIT | HF=404
2026-05-08 16:08:49 | STATE=WAIT | HF=404
2026-05-08 16:08:59 | STATE=WAIT | HF=404
2026-05-08 16:09:10 | STATE=WAIT | HF=404
2026-05-08 16:09:20 | STATE=WAIT | HF=404
2026-05-08 16:09:31 | STATE=WAIT | HF=404
2026-05-08 16:09:42 | STATE=WAIT | HF=404
